date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:29:18	37609/37609	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Dec%202020%2008:56:52%20GMT	http://rexbd.net/html/renten/demo/home-two.html	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/home-two.html	(from )
12:29:19	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Dec%202021%2011:29:18%20GMT	http://rexbd.net/robots.txt		(from )
12:29:19	2919/2919	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jun%202019%2020:09:22%20GMT	http://rexbd.net/html/renten/demo/assets/images/favicon.jpg	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/assets/images/favicon.jpg	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:19	31004/31004	---M-Z	200	added ('OK')	text/css	date:Sat,%2019%20Jan%202019%2021:15:48%20GMT	http://rexbd.net/html/renten/demo/assets/css/fontawesome.min.css	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/assets/css/fontawesome.min.css	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:20	153182/153182	---M-Z	200	added ('OK')	text/css	date:Sat,%2022%20Dec%202018%2006:47:12%20GMT	http://rexbd.net/html/renten/demo/assets/css/bootstrap.min.css	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/assets/css/bootstrap.min.css	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:20	17010/17010	---M-Z	200	added ('OK')	text/css	date:Sun,%2011%20Mar%202018%2023:00:00%20GMT	http://rexbd.net/html/renten/demo/assets/css/lightcase.css	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/assets/css/lightcase.css	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:20	77758/77758	---M-Z	200	added ('OK')	text/css	date:Wed,%2027%20Feb%202019%2001:11:30%20GMT	http://rexbd.net/html/renten/demo/assets/css/animate.css	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/assets/css/animate.css	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:21	4007/4007	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20May%202016%2015:32:26%20GMT	http://rexbd.net/html/renten/demo/assets/css/nice-select.css	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/assets/css/nice-select.css	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:21	12257/12257	---M-Z	200	added ('OK')	text/css	date:Mon,%2026%20Sep%202016%2018:54:28%20GMT	http://rexbd.net/html/renten/demo/assets/css/datepicker.min.css	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/assets/css/datepicker.min.css	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:21	2440/2440	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20May%202019%2018:28:22%20GMT	http://rexbd.net/html/renten/demo/assets/css/wickedpicker.min.css	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/assets/css/wickedpicker.min.css	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:22	30747/30747	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20May%202019%2015:05:12%20GMT	http://rexbd.net/html/renten/demo/assets/css/jquery-ui.min.css	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/assets/css/jquery-ui.min.css	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:22	3351/3351	---M-Z	200	added ('OK')	text/css	date:Sat,%2021%20Apr%202018%2000:22:10%20GMT	http://rexbd.net/html/renten/demo/assets/css/owl.carousel.min.css	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/assets/css/owl.carousel.min.css	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:22	78921/78921	---M-Z	200	added ('OK')	text/css	date:Sat,%2005%20Dec%202020%2009:01:44%20GMT	http://rexbd.net/html/renten/demo/assets/css/main.css	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/assets/css/main.css	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:23	37890/37890	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Dec%202020%2008:55:52%20GMT	http://rexbd.net/html/renten/demo/home-one.html	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/home-one.html	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:23	7062/7062	---M--	200	added ('OK')	image/png	date:Thu,%2023%20May%202019%2020:28:30%20GMT	http://rexbd.net/html/renten/demo/assets/images/logo2.png	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/assets/images/logo2.png	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:23	31742/31742	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Dec%202020%2008:56:06%20GMT	http://rexbd.net/html/renten/demo/about.html	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/about.html	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:24	22795/22795	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Dec%202020%2008:56:26%20GMT	http://rexbd.net/html/renten/demo/car-list-one.html	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/car-list-one.html	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:24	22897/22897	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Dec%202020%2008:56:30%20GMT	http://rexbd.net/html/renten/demo/car-list-two.html	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/car-list-two.html	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:24	19679/19679	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Dec%202020%2008:57:12%20GMT	http://rexbd.net/html/renten/demo/reservation.html	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/reservation.html	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:25	11956/11956	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Dec%202020%2008:56:58%20GMT	http://rexbd.net/html/renten/demo/login.html	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/login.html	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:25	12391/12391	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Dec%202020%2008:57:04%20GMT	http://rexbd.net/html/renten/demo/registration.html	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/registration.html	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:25	11370/11370	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Dec%202020%2008:56:42%20GMT	http://rexbd.net/html/renten/demo/error-404.html	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/error-404.html	(from http://rexbd.net/html/renten/demo/home-two.html)
12:29:25	20281/20281	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Dec%202020%2008:56:20%20GMT	http://rexbd.net/html/renten/demo/blog.html	C:/mon_voiture/voiture/rexbd.net/html/renten/demo/blog.html	(from http://rexbd.net/html/renten/demo/home-two.html)
